"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	306	1332040	23.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	363	1375466	26.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	362	1422252	25.5
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	363	1412502	25.7
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	382	1480138	25.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	391	1518291	25.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	373	1499992	24.9
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	387	1509872	25.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	427	1538040	27.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	400	1525335	26.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	391	1471609	26.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	389	1452207	26.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	404	1437723	28.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	397	1401594	28.3
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	335	1446844	23.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	391	1488525	26.3
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	412	1479174	27.9
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	429	1551967	27.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	445	1591206	28.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	441	1573653	28.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	466	1582557	29.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	439	1612525	27.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	480	1595501	30.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	452	1540088	29.3
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	432	1519008	28.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	402	1506562	26.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1044	5362803	19.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1116	5466158	20.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1211	5414081	22.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1098	5515656	19.9
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1225	5794710	21.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1288	5961732	21.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1244	6003364	20.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1266	5978973	21.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1316	5982413	22.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1360	6005745	22.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1294	6005376	21.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1348	5978522	22.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1351	5878521	23.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1307	5641153	23.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1337	5747975	23.3
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1375	5691777	24.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1470	5794006	25.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1401	6081397	23.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1572	6253083	25.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1505	6290049	23.9
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1476	6268064	23.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1577	6272860	25.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1529	6297356	24.3
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1535	6294526	24.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1626	6263974	26.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1487	6152370	24.2
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	732	7167044	10.2
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	803	7263317	11.1
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	798	7108716	11.2
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	837	7055977	11.9
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	798	7247690	11.0
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	810	7324013	11.1
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	805	7286051	11.0
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	826	7332635	11.3
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	902	7382288	12.2
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	900	7451112	12.1
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	868	7526702	11.5
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	893	7558077	11.8
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	883	7475206	11.8
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	973	7549999	12.9
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1031	7652979	13.5
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1010	7491214	13.5
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1013	7434490	13.6
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	980	7632469	12.8
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1045	7710780	13.6
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1011	7668078	13.2
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1075	7708050	13.9
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1054	7756952	13.6
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1077	7824242	13.8
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1123	7898500	14.2
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1159	7925492	14.6
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1161	7840579	14.8
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	897	7092053	12.6
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	918	7372403	12.5
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	996	7416439	13.4
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	918	7554481	12.2
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1024	7886778	13.0
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1083	8014546	13.5
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1044	7923912	13.2
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1009	7851074	12.9
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	996	7772186	12.8
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	991	7718081	12.8
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1008	7696909	13.1
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1079	7694687	14.0
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1103	7627460	14.5
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1014	7481920	13.6
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1045	7777778	13.4
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1115	7821212	14.3
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1118	7962208	14.0
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1094	8314347	13.2
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1180	8451338	14.0
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1097	8353371	13.1
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1244	8277397	15.0
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1186	8191516	14.5
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1161	8129659	14.3
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1130	8103642	13.9
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1179	8096445	14.6
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1123	8016291	14.0
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1397	7040477	19.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1513	7254069	20.9
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1549	7241673	21.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1594	7337855	21.7
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1692	7699453	22.0
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1741	7933400	21.9
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1806	8035458	22.5
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1743	8123100	21.5
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1808	8186982	22.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1830	8206982	22.3
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1871	8177500	22.9
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1731	8086807	21.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1816	7903855	23.0
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1620	7502694	21.6
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1791	7741169	23.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1866	7759457	24.0
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1947	7863225	24.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1894	8228011	23.0
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	2045	8462033	24.2
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	2089	8560706	24.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	2058	8641338	23.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	2134	8694025	24.5
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	2097	8705412	24.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	2063	8660083	23.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	2028	8560263	23.7
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	2000	8383297	23.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	2298	6515194	35.3
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	2472	6832644	36.2
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	2614	7016949	37.3
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	2754	7225452	38.1
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	2870	7672599	37.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	3063	7897163	38.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	3173	7907801	40.1
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	3150	7906974	39.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	3152	7908498	39.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	3191	7929480	40.2
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	3255	7983893	40.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	3197	8066627	39.6
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	3145	8119266	38.7
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	2360	6928500	34.1
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	2432	7274432	33.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	2631	7438922	35.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	2698	7651355	35.3
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	2807	8105578	34.6
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	2959	8367139	35.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	2980	8410365	35.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	3028	8439939	35.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	3152	8425847	37.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	3100	8420896	36.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	3083	8448451	36.5
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	3125	8513409	36.7
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	3031	8558178	35.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	4385	6947647	63.1
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	4549	6960842	65.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	4419	6711767	65.8
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	4508	6699773	67.3
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	4619	7030735	65.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	4877	7289675	66.9
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	5160	7445727	69.3
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	5336	7666181	69.6
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	5561	7818890	71.1
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	5614	7934387	70.8
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	5869	7984774	73.5
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	5763	7989184	72.1
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	5605	7934359	70.6
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	3534	7258141	48.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	3554	7299064	48.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	3497	7055677	49.6
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	3540	7033932	50.3
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	3655	7357279	49.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	3876	7619983	50.9
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	4138	7746504	53.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	4162	7944816	52.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	4390	8097224	54.2
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	4315	8232361	52.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	4320	8300303	52.0
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	4329	8331282	52.0
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	4253	8294723	51.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	7667	7469121	102.6
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	7910	7569804	104.5
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	8343	7526353	110.9
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	8402	7553532	111.2
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	8599	7784741	110.5
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	8971	7779515	115.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	8851	7570818	116.9
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	8586	7361279	116.6
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	8515	7296798	116.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	8897	7336667	121.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	9219	7452713	123.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	9100	7600790	119.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	9043	7682974	117.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	5098	7736670	65.9
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	5190	7855370	66.1
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	5106	7814739	65.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	5230	7842158	66.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	5510	8062125	68.3
