,Age Group,Sex,Year,Count
All Sites Combined,25-29,F,2000.0,143.0
All Sites Combined,25-29,F,2001.0,136.0
All Sites Combined,25-29,F,2002.0,158.0
All Sites Combined,25-29,F,2003.0,158.0
All Sites Combined,25-29,F,2004.0,165.0
All Sites Combined,25-29,F,2005.0,177.0
All Sites Combined,25-29,F,2006.0,184.0
All Sites Combined,25-29,F,2007.0,191.0
All Sites Combined,25-29,F,2008.0,222.0
All Sites Combined,25-29,F,2009.0,229.0
All Sites Combined,25-29,F,2010.0,220.0
All Sites Combined,25-29,F,2011.0,233.0
All Sites Combined,25-29,M,1999.0,91.0
All Sites Combined,25-29,M,2000.0,115.0
All Sites Combined,25-29,M,2001.0,96.0
All Sites Combined,25-29,M,2002.0,108.0
All Sites Combined,25-29,M,2003.0,125.0
All Sites Combined,25-29,M,2004.0,99.0
All Sites Combined,25-29,M,2005.0,141.0
All Sites Combined,25-29,M,2006.0,144.0
All Sites Combined,25-29,M,2007.0,145.0
All Sites Combined,25-29,M,2008.0,156.0
All Sites Combined,25-29,M,2009.0,171.0
All Sites Combined,25-29,M,2010.0,150.0
All Sites Combined,25-29,M,2011.0,159.0
All Sites Combined,30-34,F,1999.0,185.0
All Sites Combined,30-34,F,2000.0,215.0
All Sites Combined,30-34,F,2001.0,214.0
All Sites Combined,30-34,F,2002.0,244.0
All Sites Combined,30-34,F,2003.0,257.0
All Sites Combined,30-34,F,2004.0,262.0
All Sites Combined,30-34,F,2005.0,272.0
All Sites Combined,30-34,F,2006.0,269.0
All Sites Combined,30-34,F,2007.0,312.0
All Sites Combined,30-34,F,2008.0,289.0
All Sites Combined,30-34,F,2009.0,293.0
All Sites Combined,30-34,F,2010.0,231.0
All Sites Combined,30-34,F,2011.0,325.0
All Sites Combined,30-34,M,1999.0,134.0
All Sites Combined,30-34,M,2000.0,142.0
All Sites Combined,30-34,M,2001.0,148.0
All Sites Combined,30-34,M,2002.0,151.0
All Sites Combined,30-34,M,2003.0,149.0
All Sites Combined,30-34,M,2004.0,146.0
All Sites Combined,30-34,M,2005.0,145.0
All Sites Combined,30-34,M,2006.0,186.0
All Sites Combined,30-34,M,2007.0,190.0
All Sites Combined,30-34,M,2008.0,202.0
All Sites Combined,30-34,M,2009.0,198.0
All Sites Combined,30-34,M,2010.0,205.0
All Sites Combined,30-34,M,2011.0,212.0
All Sites Combined,35-39,F,1999.0,251.0
All Sites Combined,35-39,F,2000.0,266.0
All Sites Combined,35-39,F,2001.0,289.0
All Sites Combined,35-39,F,2002.0,302.0
All Sites Combined,35-39,F,2003.0,376.0
All Sites Combined,35-39,F,2004.0,315.0
All Sites Combined,35-39,F,2005.0,349.0
All Sites Combined,35-39,F,2006.0,367.0
All Sites Combined,35-39,F,2007.0,442.0
All Sites Combined,35-39,F,2008.0,451.0
All Sites Combined,35-39,F,2009.0,419.0
All Sites Combined,35-39,F,2010.0,419.0
All Sites Combined,35-39,F,2011.0,464.0
All Sites Combined,35-39,M,1999.0,160.0
All Sites Combined,35-39,M,2000.0,177.0
All Sites Combined,35-39,M,2001.0,203.0
All Sites Combined,35-39,M,2002.0,235.0
All Sites Combined,35-39,M,2003.0,201.0
All Sites Combined,35-39,M,2004.0,198.0
All Sites Combined,35-39,M,2005.0,254.0
All Sites Combined,35-39,M,2006.0,232.0
All Sites Combined,35-39,M,2007.0,245.0
All Sites Combined,35-39,M,2008.0,264.0
All Sites Combined,35-39,M,2009.0,240.0
All Sites Combined,35-39,M,2010.0,241.0
All Sites Combined,35-39,M,2011.0,248.0
All Sites Combined,40-44,F,1999.0,364.0
All Sites Combined,40-44,F,2000.0,395.0
All Sites Combined,40-44,F,2001.0,396.0
All Sites Combined,40-44,F,2002.0,489.0
All Sites Combined,40-44,F,2003.0,495.0
All Sites Combined,40-44,F,2004.0,453.0
All Sites Combined,40-44,F,2005.0,526.0
All Sites Combined,40-44,F,2006.0,512.0
All Sites Combined,40-44,F,2007.0,602.0
