,Age Group,Sex,Year,Count
Breast,85+,F,2004.0,69.0
Breast,85+,F,2005.0,80.0
Breast,85+,F,2006.0,90.0
Breast,85+,F,2007.0,98.0
Breast,85+,F,2008.0,116.0
Breast,85+,F,2009.0,123.0
Breast,85+,F,2010.0,137.0
Breast,85+,F,2011.0,155.0
Cervix Uteri,25-29,F,1999.0,19.0
Cervix Uteri,25-29,F,2002.0,21.0
Cervix Uteri,25-29,F,2003.0,22.0
Cervix Uteri,25-29,F,2005.0,19.0
Cervix Uteri,25-29,F,2006.0,16.0
Cervix Uteri,25-29,F,2007.0,18.0
Cervix Uteri,25-29,F,2009.0,18.0
Cervix Uteri,25-29,F,2010.0,18.0
Cervix Uteri,30-34,F,1999.0,18.0
Cervix Uteri,30-34,F,2000.0,29.0
Cervix Uteri,30-34,F,2001.0,29.0
Cervix Uteri,30-34,F,2002.0,24.0
Cervix Uteri,30-34,F,2003.0,26.0
Cervix Uteri,30-34,F,2004.0,22.0
Cervix Uteri,30-34,F,2005.0,27.0
Cervix Uteri,30-34,F,2006.0,23.0
Cervix Uteri,30-34,F,2007.0,30.0
Cervix Uteri,30-34,F,2008.0,23.0
Cervix Uteri,30-34,F,2009.0,28.0
Cervix Uteri,30-34,F,2010.0,20.0
Cervix Uteri,30-34,F,2011.0,23.0
Cervix Uteri,35-39,F,1999.0,25.0
Cervix Uteri,35-39,F,2000.0,30.0
Cervix Uteri,35-39,F,2001.0,22.0
Cervix Uteri,35-39,F,2002.0,19.0
Cervix Uteri,35-39,F,2003.0,33.0
Cervix Uteri,35-39,F,2004.0,25.0
Cervix Uteri,35-39,F,2005.0,32.0
Cervix Uteri,35-39,F,2006.0,31.0
Cervix Uteri,35-39,F,2007.0,29.0
Cervix Uteri,35-39,F,2008.0,47.0
Cervix Uteri,35-39,F,2009.0,29.0
Cervix Uteri,35-39,F,2010.0,38.0
Cervix Uteri,35-39,F,2011.0,40.0
Cervix Uteri,40-44,F,1999.0,20.0
Cervix Uteri,40-44,F,2000.0,37.0
Cervix Uteri,40-44,F,2001.0,27.0
Cervix Uteri,40-44,F,2002.0,29.0
Cervix Uteri,40-44,F,2003.0,30.0
Cervix Uteri,40-44,F,2004.0,24.0
Cervix Uteri,40-44,F,2005.0,36.0
Cervix Uteri,40-44,F,2006.0,23.0
Cervix Uteri,40-44,F,2007.0,38.0
Cervix Uteri,40-44,F,2008.0,26.0
Cervix Uteri,40-44,F,2009.0,47.0
Cervix Uteri,40-44,F,2010.0,35.0
Cervix Uteri,40-44,F,2011.0,31.0
Cervix Uteri,45-49,F,1999.0,19.0
Cervix Uteri,45-49,F,2000.0,22.0
Cervix Uteri,45-49,F,2002.0,26.0
Cervix Uteri,45-49,F,2003.0,23.0
Cervix Uteri,45-49,F,2005.0,25.0
Cervix Uteri,45-49,F,2006.0,29.0
Cervix Uteri,45-49,F,2007.0,19.0
Cervix Uteri,45-49,F,2008.0,25.0
Cervix Uteri,45-49,F,2009.0,27.0
Cervix Uteri,45-49,F,2010.0,22.0
Cervix Uteri,45-49,F,2011.0,30.0
Cervix Uteri,50-54,F,2002.0,21.0
Cervix Uteri,50-54,F,2003.0,17.0
Cervix Uteri,50-54,F,2004.0,18.0
Cervix Uteri,50-54,F,2006.0,18.0
Cervix Uteri,50-54,F,2007.0,21.0
Cervix Uteri,50-54,F,2008.0,23.0
Cervix Uteri,50-54,F,2009.0,24.0
Cervix Uteri,50-54,F,2010.0,18.0
Cervix Uteri,50-54,F,2011.0,20.0
Cervix Uteri,55-59,F,2000.0,16.0
Cervix Uteri,55-59,F,2004.0,18.0
Cervix Uteri,55-59,F,2005.0,17.0
Cervix Uteri,55-59,F,2006.0,16.0
Cervix Uteri,55-59,F,2007.0,16.0
Cervix Uteri,55-59,F,2008.0,19.0
Cervix Uteri,55-59,F,2009.0,16.0
Cervix Uteri,55-59,F,2011.0,18.0
Cervix Uteri,60-64,F,2010.0,18.0
Cervix Uteri,60-64,F,2011.0,17.0
Cervix Uteri,65-69,F,2010.0,17.0
Colon and Rectum,30-34,M,2011.0,21.0
Colon and Rectum,35-39,F,2007.0,20.0
Colon and Rectum,35-39,F,2009.0,19.0
Colon and Rectum,35-39,F,2011.0,19.0
Colon and Rectum,35-39,M,2001.0,17.0
Colon and Rectum,35-39,M,2002.0,16.0
Colon and Rectum,35-39,M,2007.0,20.0
Colon and Rectum,35-39,M,2008.0,22.0
Colon and Rectum,35-39,M,2009.0,25.0
Colon and Rectum,35-39,M,2010.0,16.0
Colon and Rectum,35-39,M,2011.0,18.0
Colon and Rectum,40-44,F,1999.0,21.0
Colon and Rectum,40-44,F,2001.0,17.0
Colon and Rectum,40-44,F,2002.0,18.0
Colon and Rectum,40-44,F,2003.0,19.0
Colon and Rectum,40-44,F,2004.0,22.0
Colon and Rectum,40-44,F,2005.0,24.0
Colon and Rectum,40-44,F,2006.0,29.0
Colon and Rectum,40-44,F,2007.0,25.0
Colon and Rectum,40-44,F,2008.0,33.0
Colon and Rectum,40-44,F,2009.0,35.0
Colon and Rectum,40-44,F,2010.0,39.0
Colon and Rectum,40-44,F,2011.0,32.0
Colon and Rectum,40-44,M,2000.0,19.0
Colon and Rectum,40-44,M,2001.0,22.0
Colon and Rectum,40-44,M,2002.0,23.0
Colon and Rectum,40-44,M,2003.0,22.0
Colon and Rectum,40-44,M,2004.0,24.0
Colon and Rectum,40-44,M,2005.0,27.0
Colon and Rectum,40-44,M,2006.0,28.0
Colon and Rectum,40-44,M,2007.0,38.0
Colon and Rectum,40-44,M,2008.0,31.0
Colon and Rectum,40-44,M,2009.0,35.0
Colon and Rectum,40-44,M,2010.0,29.0
Colon and Rectum,40-44,M,2011.0,39.0
Colon and Rectum,45-49,F,1999.0,19.0
Colon and Rectum,45-49,F,2000.0,24.0
Colon and Rectum,45-49,F,2001.0,20.0
Colon and Rectum,45-49,F,2002.0,35.0
Colon and Rectum,45-49,F,2003.0,30.0
Colon and Rectum,45-49,F,2004.0,38.0
Colon and Rectum,45-49,F,2005.0,38.0
Colon and Rectum,45-49,F,2006.0,37.0
Colon and Rectum,45-49,F,2007.0,48.0
Colon and Rectum,45-49,F,2008.0,32.0
Colon and Rectum,45-49,F,2009.0,41.0
Colon and Rectum,45-49,F,2010.0,55.0
Colon and Rectum,45-49,F,2011.0,58.0
Colon and Rectum,45-49,M,1999.0,31.0
Colon and Rectum,45-49,M,2000.0,18.0
Colon and Rectum,45-49,M,2001.0,26.0
Colon and Rectum,45-49,M,2002.0,29.0
Colon and Rectum,45-49,M,2003.0,33.0
Colon and Rectum,45-49,M,2004.0,43.0
Colon and Rectum,45-49,M,2005.0,49.0
Colon and Rectum,45-49,M,2006.0,44.0
Colon and Rectum,45-49,M,2007.0,51.0
Colon and Rectum,45-49,M,2008.0,40.0
Colon and Rectum,45-49,M,2009.0,66.0
Colon and Rectum,45-49,M,2010.0,68.0
Colon and Rectum,45-49,M,2011.0,50.0
Colon and Rectum,50-54,F,1999.0,33.0
Colon and Rectum,50-54,F,2000.0,46.0
Colon and Rectum,50-54,F,2001.0,38.0
Colon and Rectum,50-54,F,2002.0,43.0
Colon and Rectum,50-54,F,2003.0,64.0
Colon and Rectum,50-54,F,2004.0,58.0
Colon and Rectum,50-54,F,2005.0,83.0
Colon and Rectum,50-54,F,2006.0,86.0
Colon and Rectum,50-54,F,2007.0,94.0
Colon and Rectum,50-54,F,2008.0,80.0
Colon and Rectum,50-54,F,2009.0,90.0
Colon and Rectum,50-54,F,2010.0,97.0
Colon and Rectum,50-54,F,2011.0,118.0
Colon and Rectum,50-54,M,1999.0,40.0
Colon and Rectum,50-54,M,2000.0,56.0
Colon and Rectum,50-54,M,2001.0,60.0
Colon and Rectum,50-54,M,2002.0,49.0
Colon and Rectum,50-54,M,2003.0,89.0
Colon and Rectum,50-54,M,2004.0,83.0
Colon and Rectum,50-54,M,2005.0,61.0
Colon and Rectum,50-54,M,2006.0,87.0
Colon and Rectum,50-54,M,2007.0,121.0
Colon and Rectum,50-54,M,2008.0,122.0
Colon and Rectum,50-54,M,2009.0,144.0
Colon and Rectum,50-54,M,2010.0,140.0
Colon and Rectum,50-54,M,2011.0,130.0
Colon and Rectum,55-59,F,1999.0,27.0
Colon and Rectum,55-59,F,2000.0,36.0
Colon and Rectum,55-59,F,2001.0,43.0
Colon and Rectum,55-59,F,2002.0,49.0
Colon and Rectum,55-59,F,2003.0,72.0
Colon and Rectum,55-59,F,2004.0,62.0
Colon and Rectum,55-59,F,2005.0,77.0
Colon and Rectum,55-59,F,2006.0,78.0
Colon and Rectum,55-59,F,2007.0,80.0
Colon and Rectum,55-59,F,2008.0,72.0
Colon and Rectum,55-59,F,2009.0,73.0
Colon and Rectum,55-59,F,2010.0,76.0
Colon and Rectum,55-59,F,2011.0,82.0
Colon and Rectum,55-59,M,1999.0,43.0
Colon and Rectum,55-59,M,2000.0,59.0
Colon and Rectum,55-59,M,2001.0,61.0
Colon and Rectum,55-59,M,2002.0,75.0
Colon and Rectum,55-59,M,2003.0,66.0
Colon and Rectum,55-59,M,2004.0,62.0
Colon and Rectum,55-59,M,2005.0,93.0
Colon and Rectum,55-59,M,2006.0,91.0
Colon and Rectum,55-59,M,2007.0,102.0
Colon and Rectum,55-59,M,2008.0,121.0
Colon and Rectum,55-59,M,2009.0,139.0
Colon and Rectum,55-59,M,2010.0,102.0
Colon and Rectum,55-59,M,2011.0,127.0
Colon and Rectum,60-64,F,1999.0,22.0
Colon and Rectum,60-64,F,2000.0,42.0
Colon and Rectum,60-64,F,2001.0,45.0
Colon and Rectum,60-64,F,2002.0,32.0
Colon and Rectum,60-64,F,2003.0,63.0
Colon and Rectum,60-64,F,2004.0,49.0
Colon and Rectum,60-64,F,2005.0,59.0
Colon and Rectum,60-64,F,2006.0,55.0
Colon and Rectum,60-64,F,2007.0,90.0
Colon and Rectum,60-64,F,2008.0,55.0
Colon and Rectum,60-64,F,2009.0,77.0
Colon and Rectum,60-64,F,2010.0,62.0
Colon and Rectum,60-64,F,2011.0,88.0
Colon and Rectum,60-64,M,1999.0,51.0
Colon and Rectum,60-64,M,2000.0,65.0
Colon and Rectum,60-64,M,2001.0,54.0
Colon and Rectum,60-64,M,2002.0,65.0
Colon and Rectum,60-64,M,2003.0,81.0
Colon and Rectum,60-64,M,2004.0,71.0
Colon and Rectum,60-64,M,2005.0,91.0
Colon and Rectum,60-64,M,2006.0,89.0
Colon and Rectum,60-64,M,2007.0,100.0
Colon and Rectum,60-64,M,2008.0,95.0
Colon and Rectum,60-64,M,2009.0,132.0
Colon and Rectum,60-64,M,2010.0,124.0
Colon and Rectum,60-64,M,2011.0,129.0
Colon and Rectum,65-69,F,1999.0,43.0
Colon and Rectum,65-69,F,2000.0,41.0
Colon and Rectum,65-69,F,2001.0,40.0
Colon and Rectum,65-69,F,2002.0,51.0
Colon and Rectum,65-69,F,2003.0,59.0
Colon and Rectum,65-69,F,2004.0,57.0
Colon and Rectum,65-69,F,2005.0,58.0
Colon and Rectum,65-69,F,2006.0,76.0
Colon and Rectum,65-69,F,2007.0,75.0
Colon and Rectum,65-69,F,2008.0,68.0
Colon and Rectum,65-69,F,2009.0,86.0
Colon and Rectum,65-69,F,2010.0,64.0
Colon and Rectum,65-69,F,2011.0,80.0
Colon and Rectum,65-69,M,1999.0,58.0
Colon and Rectum,65-69,M,2000.0,52.0
Colon and Rectum,65-69,M,2001.0,61.0
Colon and Rectum,65-69,M,2002.0,59.0
Colon and Rectum,65-69,M,2003.0,80.0
Colon and Rectum,65-69,M,2004.0,66.0
Colon and Rectum,65-69,M,2005.0,90.0
Colon and Rectum,65-69,M,2006.0,80.0
Colon and Rectum,65-69,M,2007.0,105.0
Colon and Rectum,65-69,M,2008.0,121.0
Colon and Rectum,65-69,M,2009.0,116.0
Colon and Rectum,65-69,M,2010.0,89.0
Colon and Rectum,65-69,M,2011.0,115.0
Colon and Rectum,70-74,F,1999.0,53.0
Colon and Rectum,70-74,F,2000.0,67.0
Colon and Rectum,70-74,F,2001.0,56.0
Colon and Rectum,70-74,F,2002.0,52.0
Colon and Rectum,70-74,F,2003.0,64.0
Colon and Rectum,70-74,F,2004.0,69.0
Colon and Rectum,70-74,F,2005.0,65.0
Colon and Rectum,70-74,F,2006.0,60.0
Colon and Rectum,70-74,F,2007.0,62.0
Colon and Rectum,70-74,F,2008.0,67.0
Colon and Rectum,70-74,F,2009.0,67.0
Colon and Rectum,70-74,F,2010.0,73.0
Colon and Rectum,70-74,F,2011.0,65.0
Colon and Rectum,70-74,M,1999.0,42.0
Colon and Rectum,70-74,M,2000.0,50.0
Colon and Rectum,70-74,M,2001.0,48.0
Colon and Rectum,70-74,M,2002.0,70.0
Colon and Rectum,70-74,M,2003.0,70.0
Colon and Rectum,70-74,M,2004.0,64.0
Colon and Rectum,70-74,M,2005.0,84.0
Colon and Rectum,70-74,M,2006.0,72.0
Colon and Rectum,70-74,M,2007.0,76.0
Colon and Rectum,70-74,M,2008.0,68.0
Colon and Rectum,70-74,M,2009.0,92.0
Colon and Rectum,70-74,M,2010.0,78.0
Colon and Rectum,70-74,M,2011.0,97.0
Colon and Rectum,75-79,F,1999.0,42.0
Colon and Rectum,75-79,F,2000.0,56.0
Colon and Rectum,75-79,F,2001.0,66.0
Colon and Rectum,75-79,F,2002.0,50.0
Colon and Rectum,75-79,F,2003.0,54.0
Colon and Rectum,75-79,F,2004.0,66.0
Colon and Rectum,75-79,F,2005.0,48.0
Colon and Rectum,75-79,F,2006.0,70.0
Colon and Rectum,75-79,F,2007.0,75.0
Colon and Rectum,75-79,F,2008.0,74.0
Colon and Rectum,75-79,F,2009.0,63.0
Colon and Rectum,75-79,F,2010.0,68.0
Colon and Rectum,75-79,F,2011.0,70.0
Colon and Rectum,75-79,M,1999.0,35.0
Colon and Rectum,75-79,M,2000.0,57.0
Colon and Rectum,75-79,M,2001.0,48.0
Colon and Rectum,75-79,M,2002.0,49.0
Colon and Rectum,75-79,M,2003.0,63.0
Colon and Rectum,75-79,M,2004.0,62.0
Colon and Rectum,75-79,M,2005.0,60.0
Colon and Rectum,75-79,M,2006.0,71.0
Colon and Rectum,75-79,M,2007.0,55.0
Colon and Rectum,75-79,M,2008.0,70.0
Colon and Rectum,75-79,M,2009.0,59.0
Colon and Rectum,75-79,M,2010.0,77.0
Colon and Rectum,75-79,M,2011.0,69.0
Colon and Rectum,80-84,F,1999.0,37.0
Colon and Rectum,80-84,F,2000.0,42.0
Colon and Rectum,80-84,F,2001.0,29.0
Colon and Rectum,80-84,F,2002.0,38.0
Colon and Rectum,80-84,F,2003.0,50.0
Colon and Rectum,80-84,F,2004.0,54.0
Colon and Rectum,80-84,F,2005.0,67.0
Colon and Rectum,80-84,F,2006.0,48.0
Colon and Rectum,80-84,F,2007.0,60.0
Colon and Rectum,80-84,F,2008.0,54.0
Colon and Rectum,80-84,F,2009.0,67.0
Colon and Rectum,80-84,F,2010.0,62.0
Colon and Rectum,80-84,F,2011.0,67.0
Colon and Rectum,80-84,M,1999.0,26.0
Colon and Rectum,80-84,M,2000.0,33.0
Colon and Rectum,80-84,M,2001.0,25.0
Colon and Rectum,80-84,M,2002.0,43.0
Colon and Rectum,80-84,M,2003.0,36.0
Colon and Rectum,80-84,M,2004.0,49.0
Colon and Rectum,80-84,M,2005.0,44.0
Colon and Rectum,80-84,M,2006.0,38.0
Colon and Rectum,80-84,M,2007.0,39.0
Colon and Rectum,80-84,M,2008.0,45.0
Colon and Rectum,80-84,M,2009.0,40.0
Colon and Rectum,80-84,M,2010.0,43.0
Colon and Rectum,80-84,M,2011.0,62.0
Colon and Rectum,85+,F,1999.0,53.0
Colon and Rectum,85+,F,2000.0,37.0
Colon and Rectum,85+,F,2001.0,34.0
Colon and Rectum,85+,F,2002.0,35.0
Colon and Rectum,85+,F,2003.0,37.0
Colon and Rectum,85+,F,2004.0,32.0
Colon and Rectum,85+,F,2005.0,43.0
Colon and Rectum,85+,F,2006.0,39.0
Colon and Rectum,85+,F,2007.0,60.0
Colon and Rectum,85+,F,2008.0,59.0
Colon and Rectum,85+,F,2009.0,78.0
Colon and Rectum,85+,F,2010.0,62.0
Colon and Rectum,85+,F,2011.0,91.0
Colon and Rectum,85+,M,1999.0,16.0
Colon and Rectum,85+,M,2000.0,20.0
Colon and Rectum,85+,M,2001.0,21.0
Colon and Rectum,85+,M,2002.0,23.0
Colon and Rectum,85+,M,2004.0,28.0
Colon and Rectum,85+,M,2005.0,27.0
Colon and Rectum,85+,M,2006.0,21.0
Colon and Rectum,85+,M,2007.0,36.0
Colon and Rectum,85+,M,2008.0,47.0
Colon and Rectum,85+,M,2009.0,51.0
Colon and Rectum,85+,M,2010.0,29.0
Colon and Rectum,85+,M,2011.0,52.0
Corpus Uteri,35-39,F,2002.0,18.0
Corpus Uteri,35-39,F,2003.0,19.0
Corpus Uteri,35-39,F,2005.0,20.0
Corpus Uteri,35-39,F,2007.0,19.0
Corpus Uteri,35-39,F,2008.0,20.0
Corpus Uteri,35-39,F,2010.0,16.0
Corpus Uteri,35-39,F,2011.0,20.0
Corpus Uteri,40-44,F,1999.0,21.0
Corpus Uteri,40-44,F,2001.0,16.0
Corpus Uteri,40-44,F,2002.0,19.0
Corpus Uteri,40-44,F,2003.0,19.0
Corpus Uteri,40-44,F,2004.0,25.0
Corpus Uteri,40-44,F,2005.0,24.0
Corpus Uteri,40-44,F,2006.0,19.0
Corpus Uteri,40-44,F,2007.0,27.0
Corpus Uteri,40-44,F,2008.0,25.0
Corpus Uteri,40-44,F,2009.0,35.0
Corpus Uteri,40-44,F,2010.0,37.0
Corpus Uteri,40-44,F,2011.0,29.0
Corpus Uteri,45-49,F,1999.0,28.0
Corpus Uteri,45-49,F,2000.0,28.0
Corpus Uteri,45-49,F,2001.0,36.0
Corpus Uteri,45-49,F,2002.0,36.0
Corpus Uteri,45-49,F,2003.0,43.0
Corpus Uteri,45-49,F,2004.0,40.0
Corpus Uteri,45-49,F,2005.0,53.0
Corpus Uteri,45-49,F,2006.0,31.0
Corpus Uteri,45-49,F,2007.0,44.0
Corpus Uteri,45-49,F,2008.0,40.0
Corpus Uteri,45-49,F,2009.0,49.0
Corpus Uteri,45-49,F,2010.0,46.0
Corpus Uteri,45-49,F,2011.0,40.0
Corpus Uteri,50-54,F,1999.0,43.0
Corpus Uteri,50-54,F,2000.0,52.0
Corpus Uteri,50-54,F,2001.0,53.0
Corpus Uteri,50-54,F,2002.0,58.0
Corpus Uteri,50-54,F,2003.0,58.0
Corpus Uteri,50-54,F,2004.0,64.0
Corpus Uteri,50-54,F,2005.0,65.0
Corpus Uteri,50-54,F,2006.0,64.0
Corpus Uteri,50-54,F,2007.0,65.0
Corpus Uteri,50-54,F,2008.0,52.0
Corpus Uteri,50-54,F,2009.0,71.0
Corpus Uteri,50-54,F,2010.0,72.0
Corpus Uteri,50-54,F,2011.0,79.0
Corpus Uteri,55-59,F,1999.0,44.0
Corpus Uteri,55-59,F,2000.0,43.0
Corpus Uteri,55-59,F,2001.0,67.0
Corpus Uteri,55-59,F,2002.0,53.0
Corpus Uteri,55-59,F,2003.0,62.0
Corpus Uteri,55-59,F,2004.0,68.0
Corpus Uteri,55-59,F,2005.0,82.0
Corpus Uteri,55-59,F,2006.0,79.0
Corpus Uteri,55-59,F,2007.0,90.0
Corpus Uteri,55-59,F,2008.0,79.0
Corpus Uteri,55-59,F,2009.0,88.0
Corpus Uteri,55-59,F,2010.0,86.0
Corpus Uteri,55-59,F,2011.0,120.0
Corpus Uteri,60-64,F,1999.0,41.0
Corpus Uteri,60-64,F,2000.0,44.0
Corpus Uteri,60-64,F,2001.0,38.0
Corpus Uteri,60-64,F,2002.0,44.0
Corpus Uteri,60-64,F,2003.0,41.0
Corpus Uteri,60-64,F,2004.0,63.0
Corpus Uteri,60-64,F,2005.0,65.0
Corpus Uteri,60-64,F,2006.0,47.0
Corpus Uteri,60-64,F,2007.0,71.0
Corpus Uteri,60-64,F,2008.0,73.0
Corpus Uteri,60-64,F,2009.0,80.0
Corpus Uteri,60-64,F,2010.0,98.0
Corpus Uteri,60-64,F,2011.0,82.0
Corpus Uteri,65-69,F,1999.0,23.0
Corpus Uteri,65-69,F,2000.0,21.0
Corpus Uteri,65-69,F,2001.0,29.0
Corpus Uteri,65-69,F,2002.0,33.0
Corpus Uteri,65-69,F,2003.0,36.0
Corpus Uteri,65-69,F,2004.0,35.0
Corpus Uteri,65-69,F,2005.0,40.0
Corpus Uteri,65-69,F,2006.0,48.0
Corpus Uteri,65-69,F,2007.0,50.0
Corpus Uteri,65-69,F,2008.0,44.0
Corpus Uteri,65-69,F,2009.0,60.0
Corpus Uteri,65-69,F,2010.0,54.0
Corpus Uteri,65-69,F,2011.0,73.0
Corpus Uteri,70-74,F,1999.0,28.0
Corpus Uteri,70-74,F,2000.0,23.0
Corpus Uteri,70-74,F,2001.0,25.0
Corpus Uteri,70-74,F,2002.0,29.0
Corpus Uteri,70-74,F,2003.0,42.0
Corpus Uteri,70-74,F,2004.0,28.0
Corpus Uteri,70-74,F,2005.0,29.0
Corpus Uteri,70-74,F,2006.0,29.0
Corpus Uteri,70-74,F,2007.0,36.0
Corpus Uteri,70-74,F,2008.0,33.0
Corpus Uteri,70-74,F,2009.0,38.0
Corpus Uteri,70-74,F,2010.0,38.0
Corpus Uteri,70-74,F,2011.0,56.0
Corpus Uteri,75-79,F,1999.0,18.0
Corpus Uteri,75-79,F,2000.0,16.0
Corpus Uteri,75-79,F,2001.0,29.0
Corpus Uteri,75-79,F,2002.0,16.0
Corpus Uteri,75-79,F,2003.0,18.0
Corpus Uteri,75-79,F,2005.0,20.0
Corpus Uteri,75-79,F,2006.0,22.0
Corpus Uteri,75-79,F,2007.0,25.0
Corpus Uteri,75-79,F,2008.0,31.0
Corpus Uteri,75-79,F,2009.0,17.0
Corpus Uteri,75-79,F,2010.0,30.0
Corpus Uteri,75-79,F,2011.0,39.0
Corpus Uteri,80-84,F,2003.0,17.0
Corpus Uteri,80-84,F,2005.0,26.0
Corpus Uteri,80-84,F,2006.0,20.0
Corpus Uteri,80-84,F,2007.0,17.0
Corpus Uteri,80-84,F,2008.0,19.0
Corpus Uteri,80-84,F,2011.0,20.0
Corpus Uteri,85+,F,2007.0,19.0
Corpus Uteri,85+,F,2008.0,16.0
Corpus Uteri,85+,F,2009.0,20.0
Corpus Uteri,85+,F,2010.0,24.0
Corpus Uteri,85+,F,2011.0,17.0
Esophagus,55-59,M,2011.0,18.0
Esophagus,65-69,M,2009.0,17.0
Esophagus,65-69,M,2011.0,17.0
Kidney and Renal Pelvis,35-39,M,2006.0,17.0
Kidney and Renal Pelvis,35-39,M,2010.0,16.0
Kidney and Renal Pelvis,35-39,M,2011.0,20.0
Kidney and Renal Pelvis,40-44,M,2005.0,19.0
Kidney and Renal Pelvis,40-44,M,2008.0,21.0
Kidney and Renal Pelvis,40-44,M,2010.0,25.0
Kidney and Renal Pelvis,40-44,M,2011.0,17.0
Kidney and Renal Pelvis,45-49,F,2005.0,18.0
Kidney and Renal Pelvis,45-49,F,2011.0,17.0
Kidney and Renal Pelvis,45-49,M,2002.0,22.0
Kidney and Renal Pelvis,45-49,M,2003.0,18.0
Kidney and Renal Pelvis,45-49,M,2005.0,25.0
Kidney and Renal Pelvis,45-49,M,2006.0,27.0
Kidney and Renal Pelvis,45-49,M,2007.0,33.0
Kidney and Renal Pelvis,45-49,M,2008.0,37.0
Kidney and Renal Pelvis,45-49,M,2009.0,31.0
Kidney and Renal Pelvis,45-49,M,2010.0,32.0
Kidney and Renal Pelvis,45-49,M,2011.0,32.0
Kidney and Renal Pelvis,50-54,F,2005.0,17.0
Kidney and Renal Pelvis,50-54,F,2009.0,21.0
Kidney and Renal Pelvis,50-54,F,2010.0,19.0
Kidney and Renal Pelvis,50-54,F,2011.0,18.0
Kidney and Renal Pelvis,50-54,M,1999.0,17.0
Kidney and Renal Pelvis,50-54,M,2000.0,20.0
Kidney and Renal Pelvis,50-54,M,2002.0,21.0
Kidney and Renal Pelvis,50-54,M,2003.0,24.0
Kidney and Renal Pelvis,50-54,M,2004.0,31.0
Kidney and Renal Pelvis,50-54,M,2005.0,29.0
Kidney and Renal Pelvis,50-54,M,2006.0,28.0
Kidney and Renal Pelvis,50-54,M,2007.0,37.0
Kidney and Renal Pelvis,50-54,M,2008.0,31.0
Kidney and Renal Pelvis,50-54,M,2009.0,32.0
Kidney and Renal Pelvis,50-54,M,2010.0,33.0
Kidney and Renal Pelvis,50-54,M,2011.0,33.0
Kidney and Renal Pelvis,55-59,F,2006.0,17.0
Kidney and Renal Pelvis,55-59,F,2007.0,28.0
Kidney and Renal Pelvis,55-59,F,2009.0,16.0
Kidney and Renal Pelvis,55-59,F,2010.0,22.0
Kidney and Renal Pelvis,55-59,F,2011.0,17.0
Kidney and Renal Pelvis,55-59,M,1999.0,16.0
Kidney and Renal Pelvis,55-59,M,2000.0,17.0
Kidney and Renal Pelvis,55-59,M,2001.0,24.0
Kidney and Renal Pelvis,55-59,M,2003.0,25.0
Kidney and Renal Pelvis,55-59,M,2004.0,22.0
Kidney and Renal Pelvis,55-59,M,2005.0,38.0
Kidney and Renal Pelvis,55-59,M,2006.0,22.0
Kidney and Renal Pelvis,55-59,M,2007.0,36.0
Kidney and Renal Pelvis,55-59,M,2008.0,46.0
Kidney and Renal Pelvis,55-59,M,2009.0,49.0
Kidney and Renal Pelvis,55-59,M,2010.0,43.0
Kidney and Renal Pelvis,55-59,M,2011.0,50.0
Kidney and Renal Pelvis,60-64,F,2004.0,16.0
Kidney and Renal Pelvis,60-64,F,2006.0,16.0
Kidney and Renal Pelvis,60-64,F,2007.0,22.0
Kidney and Renal Pelvis,60-64,F,2009.0,22.0
Kidney and Renal Pelvis,60-64,F,2010.0,26.0
Kidney and Renal Pelvis,60-64,F,2011.0,24.0
Kidney and Renal Pelvis,60-64,M,2001.0,19.0
Kidney and Renal Pelvis,60-64,M,2002.0,26.0
Kidney and Renal Pelvis,60-64,M,2003.0,16.0
Kidney and Renal Pelvis,60-64,M,2004.0,19.0
Kidney and Renal Pelvis,60-64,M,2005.0,21.0
Kidney and Renal Pelvis,60-64,M,2006.0,37.0
Kidney and Renal Pelvis,60-64,M,2007.0,43.0
Kidney and Renal Pelvis,60-64,M,2008.0,37.0
Kidney and Renal Pelvis,60-64,M,2009.0,44.0
Kidney and Renal Pelvis,60-64,M,2010.0,43.0
Kidney and Renal Pelvis,60-64,M,2011.0,47.0
Kidney and Renal Pelvis,65-69,F,2007.0,17.0
Kidney and Renal Pelvis,65-69,F,2008.0,27.0
Kidney and Renal Pelvis,65-69,F,2009.0,18.0
Kidney and Renal Pelvis,65-69,F,2010.0,21.0
Kidney and Renal Pelvis,65-69,F,2011.0,17.0
Kidney and Renal Pelvis,65-69,M,2002.0,17.0
Kidney and Renal Pelvis,65-69,M,2003.0,18.0
Kidney and Renal Pelvis,65-69,M,2004.0,26.0
Kidney and Renal Pelvis,65-69,M,2005.0,31.0
Kidney and Renal Pelvis,65-69,M,2006.0,23.0
Kidney and Renal Pelvis,65-69,M,2007.0,33.0
Kidney and Renal Pelvis,65-69,M,2008.0,33.0
Kidney and Renal Pelvis,65-69,M,2009.0,28.0
Kidney and Renal Pelvis,65-69,M,2010.0,39.0
Kidney and Renal Pelvis,65-69,M,2011.0,38.0
Kidney and Renal Pelvis,70-74,F,2010.0,19.0
Kidney and Renal Pelvis,70-74,F,2011.0,20.0
Kidney and Renal Pelvis,70-74,M,2001.0,17.0
Kidney and Renal Pelvis,70-74,M,2002.0,20.0
Kidney and Renal Pelvis,70-74,M,2003.0,17.0
Kidney and Renal Pelvis,70-74,M,2004.0,16.0
Kidney and Renal Pelvis,70-74,M,2006.0,26.0
